date,cases,state
"2020-09-14",4,HB
"2020-09-15",2,HB
"2020-09-16",1,HB
"2020-09-17",2,HB
"2020-09-18",2,HB
"2020-09-19",2,HB
"2020-09-20",2,HB
"2020-09-21",2,HB
"2020-09-22",2,HB
"2020-09-23",1,HB
"2020-09-24",1,HB
"2020-09-25",1,HB
"2020-09-26",2,HB
"2020-09-27",2,HB
"2020-09-28",2,HB
"2020-09-29",4,HB
"2020-09-30",1,HB
"2020-10-01",2,HB
"2020-10-02",2,HB
"2020-10-03",2,HB
"2020-10-04",2,HB
"2020-10-05",2,HB
"2020-10-06",4,HB
"2020-10-07",4,HB
"2020-10-08",5,HB
"2020-10-09",4,HB
"2020-10-10",4,HB
"2020-10-11",4,HB
"2020-10-12",5,HB
"2020-10-13",8,HB
"2020-10-14",7,HB
"2020-10-15",11,HB
"2020-10-16",9,HB
"2020-10-17",11,HB
"2020-10-18",10,HB
"2020-10-19",11,HB
"2020-10-20",11,HB
"2020-10-21",14,HB
"2020-10-22",14,HB
"2020-10-23",16,HB
"2020-10-24",18,HB
"2020-10-25",18,HB
"2020-10-26",21,HB
"2020-10-27",20,HB
"2020-10-28",18,HB
"2020-10-29",23,HB
"2020-10-30",20,HB
"2020-10-31",23,HB
"2020-11-01",22,HB
"2020-11-02",28,HB
"2020-11-03",32,HB
"2020-11-04",30,HB
"2020-04-15",186,HE
"2020-04-16",232,HE
"2020-04-17",226,HE
"2020-04-18",225,HE
"2020-04-19",229,HE
"2020-04-20",233,HE
"2020-04-21",232,HE
"2020-04-22",230,HE
"2020-04-23",230,HE
"2020-04-24",217,HE
"2020-04-25",217,HE
"2020-04-26",218,HE
"2020-04-27",209,HE
"2020-04-28",206,HE
"2020-04-29",205,HE
"2020-04-30",192,HE
"2020-05-01",189,HE
"2020-05-02",178,HE
"2020-05-03",183,HE
"2020-05-04",178,HE
"2020-05-05",174,HE
"2020-05-06",160,HE
"2020-05-07",149,HE
"2020-05-08",137,HE
"2020-05-09",124,HE
"2020-05-10",132,HE
"2020-05-11",130,HE
"2020-05-12",117,HE
"2020-05-13",111,HE
"2020-05-14",109,HE
"2020-05-15",105,HE
"2020-05-16",102,HE
"2020-05-17",101,HE
"2020-05-18",106,HE
"2020-05-19",102,HE
"2020-05-20",95,HE
"2020-05-21",93,HE
"2020-05-22",93,HE
"2020-05-23",89,HE
"2020-05-24",84,HE
"2020-05-25",85,HE
"2020-05-26",77,HE
"2020-05-27",71,HE
"2020-05-28",68,HE
"2020-05-29",60,HE
"2020-05-30",65,HE
"2020-05-31",65,HE
"2020-06-01",61,HE
"2020-06-02",61,HE
"2020-06-03",51,HE
"2020-06-04",48,HE
"2020-06-05",44,HE
"2020-06-06",44,HE
